id;predict
0;44007.20703125
1;53340.59375
3;31488.16015625
9;67277.642578125
11;46122.0
12;157174.6875
13;64080.861328125
15;142454.40625
16;33056.421875
17;31478.30078125
18;24904.8828125
21;99852.328125
23;40297.09375
24;92747.328125
25;29296.74609375
33;26536.36328125
36;159692.65625
37;143150.21875
38;140317.53125
39;48884.46875
43;43087.40234375
45;123276.25
47;69606.9140625
50;51942.3125
51;171952.1875
53;112722.55859375
57;158757.65625
58;41704.80859375
59;48873.8671875
60;214317.7265625
62;57846.265625
63;715318.0
64;144607.03125
65;90661.9609375
68;54478.84375
69;228954.390625
73;87186.484375
76;89706.96875
77;57881.68359375
78;75216.8515625
80;103281.03125
82;69583.015625
86;316138.421875
89;216128.890625
93;226302.5625
94;483649.1875
96;29509.8828125
100;54894.7890625
101;96711.7109375
104;59088.041015625
105;43715.5625
107;52409.52734375
109;67670.77734375
110;142260.4375
112;52416.8515625
113;129017.609375
114;34211.83203125
115;44905.4375
116;100235.5
117;118052.1015625
118;64109.2109375
119;152666.390625
123;147311.109375
125;262725.9375
126;45017.01953125
129;30558.494140625
132;59610.064453125
133;48956.71875
134;26644.681640625
136;22464.15234375
142;46671.97265625
144;43133.296875
145;43755.65625
150;38391.80859375
152;256783.28125
154;593597.375
155;32738.78125
156;37907.09375
159;129137.17578125
160;98960.625
162;39701.12109375
165;26930.732421875
167;40593.03125
173;75039.8515625
177;303003.125
179;42735.03125
180;27205.609375
182;217441.5625
183;53936.78515625
186;381203.984375
190;113170.125
191;89014.890625
192;140025.8046875
195;70430.78125
197;82653.01171875
198;75086.609375
201;135738.53125
202;66462.1953125
207;124184.8125
208;38482.8984375
209;29597.2578125
211;126447.24609375
212;165706.5625
214;27292.0625
219;51428.6171875
220;133788.984375
223;65140.9765625
232;48645.92578125
233;64801.5859375
234;74225.33203125
241;68049.2890625
242;57015.16015625
243;53490.1875
244;64337.1171875
246;67227.84375
250;39288.65625
252;98277.203125
253;54785.703125
254;316951.59375
260;21066.69921875
262;324154.3125
264;36859.9765625
265;46228.953125
267;55656.0234375
268;180773.15625
271;40398.7421875
272;56231.9765625
273;82136.34375
275;183739.328125
277;47289.7734375
278;70993.828125
279;90854.90625
280;60742.416015625
282;109985.34375
283;55952.6640625
286;104902.0546875
290;165684.34375
291;60666.0234375
292;42390.9921875
294;40131.97265625
295;79176.921875
297;108671.984375
299;62111.15625
302;140426.625
303;168183.375
308;21131.244140625
313;33226.783203125
314;33578.96484375
315;175052.078125
317;36608.4921875
319;20143.5390625
320;57534.375
322;35032.53125
323;30486.24609375
325;33295.828125
326;30109.78125
327;42500.203125
329;302551.71875
330;119720.0625
332;64613.875
334;28681.80859375
335;118232.953125
339;124630.78125
342;95585.21875
344;51659.828125
345;46815.19140625
348;35645.34375
352;199853.1875
354;39976.8046875
355;63625.859375
360;24630.6015625
362;243183.015625
363;42633.8515625
364;200975.7109375
369;73943.40625
373;55940.2265625
374;28779.41015625
375;331519.7265625
377;29207.40625
378;66539.59375
379;50875.3125
381;53130.3671875
383;41972.13671875
386;64658.15625
387;28027.580078125
390;113366.5078125
391;54992.93359375
394;31784.8359375
397;123982.125
399;116963.0078125
400;51729.01171875
402;106025.328125
406;75829.640625
407;219070.65625
409;65800.5703125
413;541140.375
414;41975.625
416;205735.4609375
417;26270.3984375
420;55497.0
421;41789.453125
422;47757.2890625
423;260081.90625
424;32170.78515625
425;44956.828125
426;90377.96875
429;62682.1796875
432;30063.234375
434;40973.3046875
435;76096.890625
437;59399.0390625
438;38336.08984375
439;476646.53125
441;119790.17578125
442;727528.9375
443;20714.94140625
444;83439.30859375
446;59863.3125
450;120746.6171875
455;39461.1640625
456;117123.5390625
461;33658.1484375
462;30586.390625
463;97021.0625
468;70336.46875
470;67661.0546875
471;75366.734375
472;44269.73828125
473;49227.95703125
474;34759.16015625
475;72660.359375
476;42837.328125
478;66014.0078125
480;174409.59375
482;67927.71875
483;66788.5859375
484;72835.625
485;43832.529296875
486;862531.8125
487;25119.390625
489;547681.640625
491;34521.634765625
493;271361.8125
494;80380.734375
495;132643.15625
496;47530.96484375
499;33357.5546875
500;48954.703125
503;170791.125
504;106019.796875
505;41365.625
510;153891.5
511;169192.640625
518;22594.04296875
520;104547.8359375
522;100672.734375
527;43163.4296875
528;38747.1796875
529;71977.7578125
530;54860.11328125
532;64436.58203125
534;100816.16796875
535;132151.03125
538;54181.85546875
542;63743.0859375
544;54769.70703125
550;188108.109375
552;30863.7421875
554;25842.037109375
555;36665.171875
557;133285.78125
558;68491.1015625
559;44656.3671875
560;54927.255859375
561;46331.6171875
562;95657.1171875
565;102081.796875
566;78257.7890625
567;237193.875
569;177820.875
574;50375.05078125
575;53175.80078125
576;107868.875
577;41705.22265625
578;59223.7890625
581;63649.900390625
582;39635.83984375
583;67538.90625
589;47021.8984375
591;55202.4296875
592;43603.3671875
594;81794.18359375
595;45308.328125
596;189728.625
598;40966.90625
601;424843.75
603;39968.9296875
604;66174.6875
605;64262.7265625
606;52361.390625
608;46383.265625
609;55195.0234375
611;337962.78125
613;50871.671875
614;91120.140625
616;65837.791015625
621;81029.296875
622;28855.30078125
623;233588.8984375
626;31320.1171875
627;28906.3046875
628;98046.1484375
629;175337.28125
631;246353.21875
632;93926.6796875
633;37311.03125
635;87334.54296875
636;107368.375
637;150661.6328125
639;89745.59375
642;70095.8984375
643;36174.66796875
645;62505.5078125
648;39178.984375
650;129973.171875
655;45959.734375
656;167175.09375
661;36402.65234375
662;47222.9453125
664;37517.650390625
665;39805.84375
667;44367.61328125
671;59324.943359375
672;26349.6796875
673;58468.5078125
674;271801.0625
683;86330.6640625
686;43493.38671875
687;1165049.25
688;139244.0546875
689;29139.84765625
691;57367.41796875
692;121032.2421875
694;22286.759765625
698;237176.53125
702;138817.3125
705;38482.40625
706;118046.09375
707;31749.5546875
708;59391.3125
709;105091.75
711;84804.1015625
714;180044.0
721;78229.4921875
723;759006.84375
724;19735.0703125
727;180299.90625
730;156307.84375
731;37676.5390625
732;82414.0234375
734;196839.78125
735;37832.7890625
736;45447.6328125
740;52197.3359375
742;60644.546875
745;34606.375
747;247620.75
749;52062.6640625
750;46535.6953125
753;179186.671875
754;64444.59375
756;58490.609375
757;34787.828125
758;56410.25390625
759;27895.859375
760;161436.984375
762;35354.41015625
765;70277.4609375
766;102660.3125
770;109930.21875
771;80082.46875
773;56146.15234375
781;36856.28125
786;26346.64453125
787;49078.984375
788;27411.41796875
789;142588.359375
790;107787.890625
792;75214.0546875
796;63993.0
798;118430.3828125
800;83259.953125
804;86000.953125
806;35000.765625
808;55865.0390625
811;48620.62109375
814;49841.6015625
816;45399.65625
818;38061.359375
819;118288.40625
820;67033.376953125
826;222411.78125
829;40221.71875
831;26357.59375
832;60633.8984375
834;44545.2578125
835;35269.765625
844;72254.828125
845;63535.44140625
846;71877.9765625
847;147805.21875
850;52296.32421875
852;77778.10546875
855;217174.0625
856;415494.0625
857;68532.1328125
858;244684.40625
859;32711.705078125
863;127550.390625
864;47122.509765625
865;42769.3671875
866;134215.046875
